"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN014_RS...Taxa.de.cobertura.do.serviço.de.coleta.domiciliar.direta..porta.a.porta..da.população.urbana.do.município....","IN015_RS...Taxa.de.cobertura.do.serviço.de.coleta.de.rdo.em.relação.à.população.total.do.município....","IN016_RS...Taxa.de.cobertura.do.serviço.de.coleta.de.rdo.em.relação.à.população.urbana....","IN017_RS...Taxa.de.terceirização.do.serviço.de.coleta.de..rdo...rpu..em.relação.à.quantidade.coletada....","IN018_RS...Produtividade.média.dos.empregados.na.coleta..coletadores...motoristas..na.coleta..rdo...rpu..em.relação.à.massa.coletada..Kg.empreg.dia.","IN019_RS...Taxa.de.empregados..coletadores...motoristas..na.coleta..rdo...rpu..em.relação.à.população.urbana..empreg.1000.hab.","IN021_RS...Massa.coletada..rdo...rpu..per.capita.em.relação.à.população.urbana..Kg.hab.dia.","IN022_RS...Massa..rdo..coletada.per.capita.em.relação.à.população.atendida.com.serviço.de.coleta..Kg.hab.dia.","IN023_RS...Custo.unitário.médio.do.serviço.de.coleta..rdo...rpu...R..t.","IN024_RS...Incidência.do.custo.do.serviço.de.coleta..rdo...rpu..no.custo.total.do.manejo.de.rsu....","IN025_RS...Incidência.de..coletadores...motoristas..na.quantidade.total.de.empregados.no.manejo.de.rsu....","IN027_RS...Taxa.da.quantidade.total.coletada.de.resíduos.públicos..rpu..em.relação.à.quantidade.total.coletada.de.resíduos.sólidos.domésticos..rdo.....","IN028_RS...Massa.de.resíduos.domiciliares.e.públicos..rdo.rpu..coletada.per.capita.em.relação.à.população.total.atendida.pelo.serviço.de.coleta..Kg.habitante.dia."
251675,"Tenório","PB",2015,"[25167511] Prefeitura Municipal de Tenório - PMT; [25167540] Prefeitura Municipal de Tenório - PMT","Água e Esgoto; Res Sólidos",100,100,100,0,NA,NA,0.54,NA,428.57,50,NA,NA,0.32
251680,"Triunfo","PB",2015,"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25168040] Prefeitura Municipal de Triunfo - PMT","Água; Res Sólidos",100,100,100,0,NA,NA,1.24,NA,75,50,NA,NA,0.58
251690,"Uiraúna","PB",2015,"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25169040] PREFEITURA MUNICIPAL DE UIRAÚNA - PMU","Água; Res Sólidos",100,77.49,100,100,4472.84,0.46,1.77,1.39,27.71,30.15,33.33,16.67,1.63
251700,"Umbuzeiro","PB",2015,"[25170011] Prefeitura Municipal de Umbuzeiro - PMU; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25170040] Prefeitura Municipal de Umbuzeiro - PMU","Esgoto; Água; Res Sólidos",100,69.71,100,0,718.85,0.94,0.58,NA,122.22,43.53,33.33,NA,0.36
251710,"Várzea","PB",2015,"[25171011] Prefeitura Municipal de Várzea - PMV; [25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25171040] Prefeitura Municipal de Várzea - PB - PMV","Esgoto; Água; Res Sólidos",100,73.28,100,0,154.63,2.48,0.33,NA,NA,NA,45.45,NA,0.33
251720,"Vieirópolis","PB",2015,"[25075000] Companhia de Águas e Esgotos da Paraíba - CAGEPA; [25172040] SECRETARIA DE OBRAS E SERVIÇOS PÚBLICOS - SOSP","Água; Res Sólidos",100,100,100,0,191.69,4.78,0.79,NA,333.33,50,33.33,NA,0.16
251740,"Zabelê","PB",2015,"[25174011] Prefeitura Municipal de Zabelê - PMZ; [25174040] Prefeitura Municipal de Zabelê - PMZ","Água; Res Sólidos",89.4,70.92,100,0,NA,NA,0.79,NA,NA,NA,NA,NA,0.79
260010,"Afogados da Ingazeira","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26001040] SECRETARIA DE INFRAESTRUTURA E SERVIÇOS  PÚBLICOS - PMAI","Água; Res Sólidos",100,78.15,100,0,886.26,0.87,0.66,NA,138.43,89.98,48.08,NA,0.66
260020,"Afrânio","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260030,"Agrestina","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260050,"Águas Belas","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26005040] SECRETARIA DE INFRAESTRUTURA - SEINFRA","Água; Res Sólidos",98.13,83.4,100,0,8215.43,0.54,3.8,1.23,10.67,35.51,27.45,125,2.78
260060,"Alagoinha","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26006040] Prefeitura Municipal de Alagoinha - PMA","Água; Res Sólidos",49.39,56.47,49.39,73.33,1198.08,0.99,1.01,NA,28.16,42.64,12.9,NA,1.01
260080,"Altinho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260100,"Angelim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26010040] Prefeitura Municipal de Angelim - PMA","Água; Res Sólidos",94.83,69.44,99.2,0,2555.91,0.77,1.69,NA,33.07,12.19,11.11,NA,1.45
260110,"Araripina","PE",2015,"[26011011] Prefeitura Municipal de Araripina - PMA; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26011040] Prefeitura Municipal de Araripina - PMA","Esgoto; Água; Res Sólidos",85,60.68,100,100,2884.27,0.24,0.59,NA,78.55,20.59,9.45,NA,0.59
260120,"Arcoverde","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260160,"Belém de São Francisco","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260170,"Belo Jardim","PE",2015,"[26017011] Prefeitura Municipal de Belo Jardim - PMBJ; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26017040] Prefeitura Municipal de Belo Jardim - PMBJ","Esgoto; Água; Res Sólidos",8.24,86.14,98.9,90,4792.33,0.4,1.63,0.61,32,25.95,19.2,150,1.52
260180,"Betânia","PE",2015,"[26018011] Prefeitura Municipal de Betania - PMB; [26116000] Companhia Pernambucana de Saneamento - COMPESA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260190,"Bezerros","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260200,"Bodocó","PE",2015,"[26020011] Prefeitura Municipal de Bodocó - PMB; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26020040] Prefeitura Municipal de Bodocó - PMB","Esgoto; Água; Res Sólidos",100,36.48,100,0,697.97,1.84,1.1,NA,86.08,25.86,23.81,NA,1.1
260210,"Bom Conselho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260220,"Bom Jardim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260240,"Brejão","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260250,"Brejinho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26025040] PREFEITURA MUNICIPAL DE BREJINHO - PMB","Água; Res Sólidos",99.74,46.34,100,100,798.72,2.89,1.98,1.19,80,35.65,32.26,66.67,1.98
260260,"Brejo da Madre de Deus","PE",2015,"[26026011] Prefeitura Municipal de Brejo da Madre de Deus - PMBMD; [26116000] Companhia Pernambucana de Saneamento - COMPESA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260280,"Buíque","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260300,"Cabrobó","PE",2015,"[26030011] Prefeitura Municipal de Cabrobó - PMC; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26030040] Secretaria de Infraestrutua Urbana - SEINFRA","Esgoto; Água; Res Sólidos",98.5,69.18,98.5,0,NA,NA,1.93,1.55,103.73,47.83,NA,15.38,1.79
260310,"Cachoeirinha","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260320,"Caetés","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26032040] Prefeitura Municipal de Caetés - PMC","Água; Res Sólidos",100,46.19,100,0,1718.85,0.5,0.74,NA,46.47,9.68,8,NA,0.45
260330,"Calçado","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26033040] Prefeitura Municipal de Calçado - PMC","Água; Res Sólidos",39.33,31.43,52.44,0,1996.81,1.05,1.8,NA,42.24,57.89,40,NA,1.96
260340,"Calumbi","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260350,"Camocim de São Félix","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26035040] Prefeitura Municipal de Camocim - PMC","Água; Res Sólidos",100,100,100,0,699.51,3.72,2.23,NA,133.66,72.87,54.29,NA,1.87
260370,"Canhotinho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26037040] Prefeitura Municipal de Canhotinho - PMC","Água; Res Sólidos",97.98,96.63,97.98,0,605.35,2.66,1.38,NA,55.33,61.29,38.38,NA,0.82
260380,"Capoeiras","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260390,"Carnaíba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260392,"Carnaubeira da Penha","PE",2015,"[26039211] Prefeitura Municipal de Carnaubeira da Penha - PMCP; [26039240] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",100,100,100,0,487.22,1.89,0.79,0.12,127.48,51.52,26.67,10.91,0.13
260410,"Caruaru","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26041040] Prefeitura Municipal Caruaru - PMC","Água e Esgoto; Res Sólidos",12.63,100,100,0,4472.84,0.29,1.12,0.79,86.86,73.37,13.04,26,0.99
260415,"Casinhas","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26041540] Prefeitura Muncipal de Casinhas - PMC","Água; Res Sólidos",79.55,51.41,100,0,830.67,2.27,1.62,NA,NA,NA,23.53,NA,0.39
260430,"Cedro","PE",2015,"[26043011] Prefeitura Municipal de Cedro - PMC; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26043040] Prefeitura Municipal de Cedro - PMC","Esgoto; Água; Res Sólidos",100,58.37,100,100,5202.17,0.74,3.32,NA,NA,NA,9.43,NA,3.32
260450,"Chã Grande","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26045040] Prefeitura Municipal de Chã Grande - PMCG","Água; Res Sólidos",36.79,78.2,67.98,100,1111.82,0.83,0.86,NA,NA,NA,27.27,NA,0.75
260470,"Correntes","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260490,"Cumaru","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260500,"Cupira","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260510,"Custódia","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26051040] Prefeitura Municipal de Custódia - PMC","Água; Res Sólidos",12.93,69.09,94.79,0,4259.85,0.26,0.94,NA,26.4,61.97,40,NA,0.88
260515,"Dormentes","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26051540] SECRETARIA DE AGRICULTURA. INFRAESTRUTURA. RECURSOS HÍDRICOS E MEIO AMBIENTE - SEAGRIMA","Água e Esgoto; Res Sólidos",98.94,43.67,98.94,0,413.7,1.38,0.49,NA,122.33,47.16,47.37,NA,0.4
260530,"Exu","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260560,"Flores","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260570,"Floresta","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26057040] PREFEITURA MUNICIPAL DE FLORESTA - PMF","Água; Res Sólidos",100,68.2,100,100,2277.32,0.28,0.54,NA,89.41,20.82,9.68,NA,0.54
260580,"Frei Miguelinho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260600,"Garanhuns","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260630,"Granito","PE",2015,"[26063011] Prefeitura Municipal de Granito - PMG; [26116000] Companhia Pernambucana de Saneamento - COMPESA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260640,"Gravatá","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260650,"Iati","PE",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260660,"Ibimirim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26066040] Prefeitura Municipla de Ibimirim - PMI","Água; Res Sólidos",28.47,44.06,62.63,0,1677.32,1.27,1.82,NA,NA,NA,57.14,NA,2.28
260670,"Ibirajuba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26067040] Prefeitura Municipal de Ibirajuba - PMI","Água; Res Sólidos",15.53,38.83,77.64,0,1597.44,1.24,1.7,NA,52.8,61.97,40,NA,1.83
260690,"Iguaraci","PE",2015,"[26069011] Prefeitura Municipal de Iguaraci - PMI; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26069040] PREFEITURA MUNICIPAL DE IGUARACY - PMI","Esgoto; Água; Res Sólidos",71.47,100,100,95.84,4296.06,0.48,1.76,0.85,78.53,47.74,13.04,6.72,0.91
260700,"Inajá","PE",2015,"[26070011] Prefeitura Municipal de Inajá - PMI","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260710,"Ingazeira","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260730,"Ipubi","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260740,"Itacuruba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260750,"Itaíba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26075040] Prefeitura Municipal de Itaíba - PMI","Água; Res Sólidos",30.78,37.86,71.82,0,3194.89,0.62,1.69,NA,35.2,61.97,40,NA,1.64
260770,"Itapetim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26077040] Prefeitura Municipal de Itapetim - PMI","Água; Res Sólidos",100,60.7,100,100,2451.28,0.48,1.01,NA,146.72,32.76,19.05,NA,1.01
260800,"Jataúba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260805,"Jatobá","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26080540] Prefeitura Municipal de Jatobá - PMJ","Água; Res Sólidos",100,63.32,100,100,4428.12,0.47,1.79,NA,54.68,23.34,12,NA,1.23
260810,"João Alfredo","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260825,"Jucati","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26082540] Prefeitura Municipal de Jucati - PMJ","Água; Res Sólidos",16.74,26.78,83.7,0,1597.44,1.34,1.83,NA,52.8,61.97,40,NA,1.83
260830,"Jupi","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260840,"Jurema","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26084040] Prefeitura Municipal de Jurema - PMJ","Água; Res Sólidos",100,60.19,100,0,4651.76,0.33,1.31,NA,NA,NA,37.5,NA,1.31
260860,"Lagoa do Ouro","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26086040] SECRETARIA DE OBRAS E URBANISMO - SOU","Água; Res Sólidos",23.46,54.41,86.03,0,3194.89,0.63,1.71,NA,26.4,57.89,40,NA,1.57
260870,"Lagoa dos Gatos","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260875,"Lagoa Grande","PE",2015,"[26087511] Prefeitura Municipal de Lagoa Grande - PMLG; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26087540] PREFEITURA MUNICIPAL DE LAGOA GRANDE - PMLG/SEIMA","Esgoto; Água e Esgoto; Res Sólidos",100,78.08,100,0,NA,NA,2.34,0.8,NA,NA,NA,70.61,1.37
260880,"Lajedo","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260915,"Manari","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260930,"Mirandiba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26093040] Prefeitura Municipal Mirandiba - PE - PMM","Água; Res Sólidos",94.23,47.03,94.23,0,NA,NA,4,NA,13.09,21.75,NA,NA,4.24
260970,"Orobó","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26097040] PREFEITURA - PMO","Água; Res Sólidos",46.98,50.71,82.21,0,1725.24,0.47,0.69,NA,286.27,38.64,6.15,NA,0.49
260980,"Orocó","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260990,"Ouricuri","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26099040] PREFEITURA MUNICIPAL DE OURICURI - PMO","Água; Res Sólidos",78.77,96.05,96.28,100,2000.28,0.67,1.15,0,NA,NA,29.87,NA,0.61
261010,"Palmeirina","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26101040] Prefeitura Municipal de Palmeirina - PMP","Água; Res Sólidos",100,100,100,64.06,1277.96,1.59,1.74,NA,NA,NA,10.67,NA,1.1
261020,"Panelas","PE",2015,"[26102011] Prefeitura Municipal de Panelas - PMP; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26102040] Prefeitura Municipal de Panelas - PMP","Esgoto; Água; Res Sólidos",100,100,100,0,511.18,1.04,0.46,NA,105,91.3,22.73,NA,0.25
261030,"Paranatama","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26103040] Prefeitura Municipal de Paranatama - PMP","Água; Res Sólidos",96.46,44.03,96.46,0,NA,NA,1.59,NA,260.42,100,NA,NA,0.74
261040,"Parnamirim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26104040] Prefeitura Municipal de Parnamirim - PMP","Água; Res Sólidos",100,41.42,100,34.05,318.51,1.48,0.43,0.37,69.54,23.42,24.53,18.37,0.43
261050,"Passira","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261080,"Pedra","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261090,"Pesqueira","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26109040] Prefeitura Municipal de Pesqueira - PMP","Água; Res Sólidos",84.32,60.47,84.32,80,6166.13,0.17,0.89,NA,49.73,37.87,7.41,NA,1.06
261100,"Petrolândia","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26110040] Prefeitura Municipal de Petrolândia - PMP","Água; Res Sólidos",100,100,100,0,3833.87,0.47,1.54,0.51,22.15,26.17,16,118.18,1.12
261110,"Petrolina","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26111040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",100,100,100,100,NA,NA,0.75,0.48,118.58,47.48,NA,17.36,0.56
261120,"Poção","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261153,"Quixaba","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261170,"Riacho das Almas","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261200,"Sairé","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261210,"Salgadinho","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261220,"Salgueiro","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26122040] PREFEITURA MUNICIPAL DO SALGUEIRO - PMS","Água e Esgoto; Res Sólidos",100,90,100,100,1743.68,0.52,0.79,0.41,104.66,34.82,25.25,72.6,0.71
261230,"Saloá","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26123040] Prefeitura Municipal de Saloá   Secretaria Municipal de Meio Ambiente - PMS","Água; Res Sólidos",98.92,49.55,98.92,0,1552.72,1.01,1.35,1.14,229.42,68.54,10.39,20,1.37
261240,"Sanharó","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261245,"Santa Cruz","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261247,"Santa Cruz da Baixa Verde","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26124740] Prefeitura Municipal de Santa Cruz da    Baixa Verde - PMSCBV","Água; Res Sólidos",100,44.84,100,100,67.09,3.6,0.21,NA,408.98,15.68,60.61,NA,0.21
261250,"Santa Cruz do Capibaribe","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261255,"Santa Filomena","PE",2015,"[26125511] Prefeitura Municipal de Santa Filomena - PMSF; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26125540] PREFEITURA MUNICIPAL DE SANTA FILOMENA - PGCM","Esgoto; Água; Res Sólidos",91.35,31.85,100,100,NA,NA,2.92,NA,129.7,58.95,NA,NA,1.53
261260,"Santa Maria da Boa Vista","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261270,"Santa Maria do Cambucá","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26127040] Secretaria Municipal de Saúde - SMS","Água; Res Sólidos",100,60,100,100,1198.08,1.15,1.18,0.2,388.27,79.87,22.22,150,0.5
261280,"Santa Terezinha","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261300,"São Bento do Una","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261310,"São Caitano","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26131040] Prefeitura Municipal de São Caetano - PMSC","Água; Res Sólidos",92.21,83.17,98,0,194.89,0.71,0.12,0.1,259.67,31.99,37.74,10.91,0.11
261320,"São João","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261330,"São Joaquim do Monte","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26133040] Município de São Joaquim do Monte - Prefeitura - PMSJM","Água; Res Sólidos",100,100,100,0,346.11,0.82,0.24,NA,58.19,17.24,31.58,NA,0.17
261350,"São José do Belmonte","PE",2015,"[26135011] Prefeitura Municipal de São José do Belmonte - PMSJB; [26116000] Companhia Pernambucana de Saneamento - COMPESA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261360,"São José do Egito","PE",2015,"[26136011] Prefeitura Municipal de São José do Egito - PMSJE; [26116000] Companhia Pernambucana de Saneamento - COMPESA; [26136040] Prefeitura Municipal de São José do Egito - PMSJE","Esgoto; Água; Res Sólidos",100,100,100,91.74,NA,NA,0.51,NA,NA,NA,NA,NA,0.33
261390,"Serra Talhada","PE",2015,"[26139011] Prefeitura Municipal de Serra Talhada - PMST; [26116000] Companhia Pernambucana de Saneamento - COMPESA","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261400,"Serrita","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26140040] secretaria de meio ambiente de serrita - semas","Água; Res Sólidos",100,34.67,100,100,5399.36,0.15,0.7,NA,196.6,30.81,2.7,NA,0.7
261410,"Sertânia","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261430,"Moreilândia","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261440,"Solidão","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA; [26144040] secretaria de obras e saneamento - so","Água; Res Sólidos",100,56.51,100,0,583.81,1.58,0.79,NA,96.32,19.23,18.75,NA,0.45
261450,"Surubim","PE",2015,"[26116000] Companhia Pernambucana de Saneamento - COMPESA","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
